Name,Platform,Year_of_Release,Genre,NA_Sales,Global_Sales,Critic_Score,User_Score,Rating
Konami Classics Vol. 1,X360,2009.0,Misc,0.08,0.08,,,T
The Sims 2: Apartment Life,PC,2008.0,Simulation,0.0,0.09,75.0,7.7,T
Hotel Dusk: Room 215,DS,2007.0,Adventure,0.26,0.54,78.0,8.6,T
Killer is Dead,X360,2013.0,Action,0.08,0.12,64.0,7.2,M
Viva Pinata,X360,2006.0,Simulation,0.45,1.62,84.0,8.0,E
Naruto: Powerful Shippuden,3DS,2012.0,Platform,0.08,0.15,71.0,5.4,E10+
The Legend of Dragoon,PS,1999.0,Role-Playing,0.94,1.86,74.0,8.4,T
Stolen,PS2,2005.0,Action,0.02,0.04,51.0,7.4,T
New Super Mario Bros. U,WiiU,2012.0,Platform,2.3,5.22,84.0,8.1,E
Resistance 3,PS3,2011.0,Shooter,0.64,1.48,83.0,7.8,M
DiRT 2,Wii,2009.0,Racing,0.1,0.37,51.0,5.5,E10+
Jaws Unleashed,PS2,2006.0,Action,0.5,0.6,52.0,7.5,M
Midtown Madness 3,XB,2003.0,Racing,0.23,0.3,76.0,8.3,E
Rise of the Kasai,PS2,2005.0,Action,0.09,0.19,68.0,8.0,M
Shaun White Skateboarding,PS3,2010.0,Sports,0.11,0.19,61.0,6.5,T
Resident Evil: Revelations,PC,2013.0,Action,0.0,0.04,77.0,7.0,M
Escape from Bug Island,Wii,2006.0,Action,0.04,0.06,37.0,5.0,M
MotoGP 08,X360,2008.0,Racing,0.11,0.35,68.0,5.6,E
Dynasty Warriors 5,XB,2005.0,Action,0.04,0.05,66.0,8.0,T
Escape From Monkey Island,PS2,2001.0,Adventure,0.05,0.1,84.0,8.2,T
That's So Raven,GBA,2004.0,Adventure,0.54,0.76,39.0,7.6,E
Mobile Suit Gundam: Extreme VS Force,PSV,2015.0,Action,0.0,0.17,57.0,7.3,E10+
Sega Soccer Slam,GC,2002.0,Sports,0.05,0.07,84.0,7.7,E
Sonic Generations,PC,2011.0,Platform,0.02,0.11,77.0,8.3,E
Elven Legacy,PC,2009.0,Strategy,0.02,0.02,71.0,7.1,T
Conan,PS3,2007.0,Action,0.13,0.34,69.0,7.2,M
"Warhammer 40,000: Space Marine",X360,2011.0,Shooter,0.25,0.56,76.0,7.8,M
Risen 2: Dark Waters,PC,2012.0,Role-Playing,0.0,0.22,69.0,5.6,M
Spore Hero,Wii,2009.0,Simulation,0.35,0.4,61.0,7.1,E10+
Red Faction: Guerrilla,PS3,2009.0,Shooter,0.33,0.74,85.0,8.1,M
Fire Emblem: Radiant Dawn,Wii,2007.0,Strategy,0.27,0.49,78.0,8.7,E10+
Pokemon Mystery Dungeon: Gates to Infinity,3DS,2012.0,Role-Playing,0.44,1.27,59.0,6.3,E
Robot Alchemic Drive,PS2,2002.0,Action,0.03,0.07,79.0,8.2,T
Six Flags Fun Park,Wii,2009.0,Misc,0.27,0.4,43.0,7.1,E10+
Headhunter: Redemption,XB,2004.0,Action,0.02,0.02,59.0,6.8,M
Dynasty Warriors 8: Empires,PSV,2015.0,Action,0.0,0.02,70.0,7.4,T
Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,8.52,13.47,94.0,6.3,M
Dark Summit,GC,2002.0,Sports,0.04,0.05,68.0,4.5,T
BlazBlue: Chrono Phantasma Extend,PS4,2015.0,Action,0.07,0.14,80.0,7.7,T
Darksiders II,PC,2012.0,Action,0.03,0.15,81.0,7.8,M
Ping Pals,DS,2004.0,Misc,0.1,0.11,28.0,3.9,E
The Wonderful 101,WiiU,2013.0,Action,0.19,0.4,78.0,8.5,T
Crazy Taxi: Fare Wars,PSP,2007.0,Racing,0.1,0.47,64.0,7.1,E10+
Super Monkey Ball Jr.,GBA,2002.0,Puzzle,0.51,0.72,82.0,8.6,E
Test Drive Unlimited,PSP,2007.0,Racing,0.08,0.5,80.0,7.3,E10+
Dead to Rights: Reckoning,PSP,2005.0,Shooter,0.12,0.13,54.0,7.2,M
Destiny,PS4,2014.0,Shooter,2.49,5.64,76.0,6.1,T
Arcania: Gothic 4,X360,2010.0,Role-Playing,0.04,0.09,64.0,5.2,T
Barnyard,Wii,2006.0,Action,0.04,0.04,65.0,5.7,E10+
Tiger Woods PGA Tour 12: The Masters,PS3,2011.0,Sports,0.52,0.89,80.0,7.3,E
Borderlands: The Pre-Sequel,X360,2014.0,Shooter,0.46,0.72,74.0,6.4,M
FIFA Soccer 11,PSP,2010.0,Sports,0.13,1.2,68.0,5.4,E
Burnout Revenge,XB,2005.0,Racing,0.32,0.53,89.0,8.4,E10+
Nightshade,PS2,2003.0,Action,0.06,0.12,68.0,7.7,M
GT Pro Series,Wii,2006.0,Racing,0.46,0.52,41.0,4.0,E
Extermination,PS2,2001.0,Action,0.21,0.55,67.0,7.8,M
Arkanoid DS,DS,2007.0,Puzzle,0.06,0.06,61.0,7.0,E
NFL Street,PS2,2004.0,Sports,1.15,1.42,80.0,8.9,E
World Destruction League: Thunder Tanks,PS2,2000.0,Action,0.08,0.17,65.0,5.9,T
Earth Defense Force: Insect Armageddon,X360,2011.0,Shooter,0.1,0.19,68.0,8.2,T
Watch Dogs 2,XOne,2016.0,Action,0.17,0.36,83.0,7.7,M
Midnight Club 3: DUB Edition,XB,2005.0,Racing,0.61,0.74,84.0,7.4,E10+
SSX Tricky,XB,2001.0,Sports,0.32,0.43,88.0,8.5,E
Test Drive Unlimited 2,PC,,Racing,0.05,0.19,72.0,5.7,T
Hitman: Blood Money,PS2,2006.0,Action,0.25,0.5,83.0,8.4,M
Transformers: Devastation,XOne,2015.0,Action,0.09,0.14,75.0,7.9,T
Arx Fatalis,XB,2003.0,Role-Playing,0.04,0.05,71.0,8.2,M
UFC Undisputed 3,PS3,2012.0,Action,0.55,1.03,86.0,7.4,T
Wolfenstein,PS3,2009.0,Shooter,0.25,0.63,71.0,7.4,M
Blades of Time,X360,2012.0,Action,0.07,0.1,52.0,6.5,M
Baldur's Gate: Dark Alliance II,XB,2004.0,Role-Playing,0.19,0.26,77.0,7.9,T
Le Mans 24 Hours,PS2,2001.0,Racing,0.09,0.2,75.0,7.6,E
Breakdown,XB,2004.0,Adventure,0.09,0.12,71.0,8.2,M
NBA Live 09,PS3,2008.0,Sports,0.46,0.52,75.0,7.8,E
Dokuro,PSV,2012.0,Action,0.0,0.01,76.0,8.0,E10+
Virtua Fighter 4,PS2,2002.0,Fighting,0.78,1.81,94.0,8.0,T
RPG Maker II,PS2,2002.0,Role-Playing,0.06,0.13,65.0,8.8,E
Dance Dance Revolution: Hottest Party 3,Wii,2009.0,Simulation,0.26,0.44,66.0,8.2,E10+
Goldeneye 007: Reloaded,X360,2011.0,Shooter,0.25,0.5,72.0,6.0,T
All-Star Baseball 2002,PS2,2001.0,Sports,0.27,0.56,77.0,7.6,E
NBA Inside Drive 2003,XB,2002.0,Sports,0.23,0.31,72.0,7.8,E
Men of War: Assault Squad,PC,2011.0,Strategy,0.01,0.05,77.0,8.2,T
Farming Simulator 2013,PS3,2013.0,Simulation,0.0,0.14,40.0,2.9,E
Prince of Persia: Rival Swords,PSP,2007.0,Action,0.08,0.11,74.0,8.2,T
The Munchables,Wii,2009.0,Action,0.17,0.18,71.0,8.2,E
X-Men: Mutant Academy 2,PS,2001.0,Fighting,0.4,0.72,72.0,8.4,T
LEGO Indiana Jones 2: The Adventure Continues,Wii,2009.0,Action,0.9,1.4,72.0,6.1,E10+
Way of the Samurai 3,X360,2009.0,Action,0.12,0.21,55.0,6.8,M
Tekken 3D: Prime Edition,3DS,2012.0,Fighting,0.06,0.2,64.0,5.9,T
LEGO The Lord of the Rings,PSV,2012.0,Action,0.09,0.28,54.0,5.6,E10+
Midnight Club 3: DUB Edition,PSP,2005.0,Racing,1.65,3.65,74.0,8.4,E10+
Mario vs. Donkey Kong: Tipping Stars,3DS,2015.0,Puzzle,0.0,0.06,70.0,7.5,E
Tekken 6,PSP,2009.0,Fighting,0.15,0.32,82.0,8.2,T
Fullmetal Alchemist: Dual Sympathy,DS,2005.0,Role-Playing,0.05,0.09,58.0,7.3,T
Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,Wii,2007.0,Role-Playing,0.18,0.7,65.0,5.9,T
Mafia,PS2,2004.0,Action,0.34,0.7,65.0,7.6,M
SSX Tricky,GC,2001.0,Sports,0.42,0.54,87.0,8.6,E
Manhunt,PS2,2003.0,Action,0.63,1.28,76.0,8.3,M
Earth Defense Force 4.1: The Shadow of New Despair,PS4,2015.0,Shooter,0.03,0.06,64.0,7.9,M
Star Wars: Jedi Starfighter,XB,2002.0,Simulation,0.35,0.44,78.0,5.2,T
Hot Shots Golf: World Invitational,PSV,2011.0,Sports,0.15,0.55,76.0,8.1,E
Call of Duty: Modern Warfare 3,PC,2011.0,Shooter,0.41,1.72,78.0,2.5,M
Guitar Hero: Aerosmith,Wii,2008.0,Misc,1.03,1.27,73.0,7.2,T
Brave: A Warrior's Tale,X360,2009.0,Action,0.05,0.06,42.0,5.0,E10+
Kung Fu Panda: Showdown of Legendary Legends,3DS,2015.0,Action,0.0,0.03,,,E10+
Lords of the Fallen,PC,2014.0,Role-Playing,0.0,0.03,73.0,6.9,M
LEGO Indiana Jones 2: The Adventure Continues,X360,2009.0,Action,0.62,1.02,71.0,7.4,E10+
Spider-Man: Edge of Time,Wii,2011.0,Action,0.06,0.09,62.0,5.2,T
Another Code R: A Journey into Lost Memories,Wii,2009.0,Adventure,0.0,0.06,66.0,,
Shrek: Forever After,X360,2010.0,Platform,0.1,0.11,62.0,6.2,E10+
Fantastic 4,PS2,2005.0,Action,0.41,0.5,64.0,7.8,T
Dynasty Warriors: Gundam 2,X360,2008.0,Action,0.07,0.19,49.0,7.0,T
Rocky: Legends,PS2,2004.0,Action,0.13,0.27,65.0,8.6,T
Operation Flashpoint: Dragon Rising,X360,2009.0,Shooter,0.36,0.93,77.0,7.8,M
Rayman 3: Hoodlum Havoc,PS2,2003.0,Platform,0.14,0.29,76.0,8.6,E
The Orange Box,PS3,2007.0,Shooter,0.28,1.06,89.0,8.4,M
Pro Cast Sports Fishing,XB,2003.0,Sports,0.02,0.03,49.0,,E
Supreme Commander 2,PC,2010.0,Strategy,0.0,0.19,77.0,6.2,E10+
Emergency 2012,PC,2010.0,Simulation,0.02,0.07,61.0,6.2,T
World Championship Pool 2004,PS2,2004.0,Sports,0.02,0.05,60.0,6.7,E
SWAT: Global Strike Team,XB,2003.0,Shooter,0.13,0.17,69.0,6.3,M
The Legend of Spyro: A New Beginning,DS,2006.0,Platform,0.33,0.37,68.0,6.8,E
Tony Hawk: RIDE,X360,2009.0,Sports,0.46,0.61,46.0,3.0,E10+
Wolfenstein: The Old Blood,PS4,2015.0,Action,0.1,0.43,76.0,8.0,
RayStorm,PS,1997.0,Shooter,0.04,0.07,79.0,7.8,E
Pro Evolution Soccer 2015,PC,2014.0,Sports,0.0,0.06,82.0,5.8,
All-Pro Football 2K8,X360,2007.0,Sports,0.24,0.26,75.0,6.8,E10+
Britney's Dance Beat,PS2,2002.0,Misc,0.12,0.24,63.0,4.8,E
LEGO Harry Potter: Years 5-7,PSV,2012.0,Action,0.07,0.18,64.0,6.8,E10+
Blood Bowl,PC,2009.0,Sports,0.02,0.04,72.0,6.5,T
C.O.P.: The Recruit,DS,2009.0,Action,0.05,0.08,55.0,7.5,T
Rayman Origins,PC,2012.0,Platform,0.0,0.08,86.0,8.4,E10+
Smashing Drive,GC,,Racing,0.06,0.07,47.0,5.2,T
IndyCar Series,XB,2003.0,Racing,0.04,0.05,71.0,7.8,E
Dungeon Explorer: Warriors of Ancient Arts,PSP,2007.0,Role-Playing,0.01,0.01,56.0,5.5,T
Cars: Mater-National Championship,X360,2007.0,Racing,0.13,0.14,58.0,7.8,E
American Chopper,XB,2004.0,Racing,0.11,0.15,44.0,5.9,T
Record of Agarest War,PS3,2007.0,Role-Playing,0.0,0.07,67.0,6.8,T
TouchMaster,DS,2007.0,Puzzle,0.48,2.0,71.0,5.7,E10+
Sega Rally Revo,X360,2007.0,Racing,0.12,0.45,77.0,7.2,E
The Sims 3: Seasons,PC,2012.0,Simulation,0.0,0.16,73.0,7.5,T
Robots,PS2,2005.0,Action,0.18,0.36,53.0,6.0,E
Grand Prix Challenge,PS2,2002.0,Racing,0.04,0.08,76.0,9.2,E
FIFA 17,XOne,2016.0,Sports,0.43,2.65,84.0,5.5,E
Life is Strange,XOne,2016.0,Adventure,0.09,0.13,85.0,8.7,M
The Punisher,PS2,2005.0,Action,0.25,0.52,68.0,8.2,M
Ben 10 Alien Force: Vilgax Attacks,Wii,2009.0,Action,0.25,0.44,65.0,4.0,E10+
Star Wars: Bounty Hunter,PS2,2002.0,Shooter,0.53,1.09,65.0,8.3,T
Mahjong Cub3D,3DS,2011.0,Puzzle,0.07,0.09,67.0,5.3,E
Myst III: Exile,PS2,2002.0,Adventure,0.14,0.28,57.0,7.0,E
The Simpsons Game,Wii,2007.0,Action,0.45,1.01,64.0,6.1,T
NBA 2K16,PS4,2015.0,Sports,2.49,3.88,87.0,6.7,E10+
NFL Street,XB,2004.0,Sports,0.49,0.66,81.0,8.8,E
Kung Fu Panda,PC,2008.0,Action,0.0,0.02,71.0,7.8,E10+
Killzone: Liberation,PSP,2006.0,Shooter,0.44,0.89,77.0,8.3,T
Frogger: The Great Quest,PS2,2001.0,Platform,0.6,1.23,32.0,4.6,E
Tom Clancy's Rainbow Six: Vegas,X360,2006.0,Shooter,1.09,1.95,88.0,8.3,M
Time Crisis 3,PS2,2003.0,Shooter,0.3,0.61,81.0,8.1,T
Teenage Mutant Ninja Turtles 2: Battle Nexus,GC,2004.0,Action,0.15,0.19,49.0,4.6,T
Viva Pinata,PC,2007.0,Simulation,0.0,0.02,78.0,7.8,E
Thor: God of Thunder,DS,2011.0,Action,0.08,0.12,64.0,7.2,E10+
The LEGO Movie Videogame,PS4,2014.0,Action,0.24,0.67,71.0,7.1,E10+
Gun,XB,2005.0,Shooter,0.38,0.52,79.0,7.8,M
Madden NFL 06,PS2,2005.0,Sports,3.98,4.91,88.0,8.0,E
James Bond 007: Everything or Nothing,GC,2004.0,Shooter,0.32,0.42,84.0,8.2,T
Dead Space,PS3,2008.0,Action,1.05,2.0,88.0,8.8,M
God of War: Chains of Olympus,PSP,2008.0,Action,1.48,3.18,91.0,8.6,M
Tiger Woods PGA Tour 2002,PS2,2002.0,Sports,0.44,0.9,80.0,7.6,E
MVP Baseball 2004,PS2,2004.0,Sports,1.1,1.34,90.0,8.6,E
Tiger Woods PGA Tour 13,X360,2012.0,Sports,0.29,0.51,77.0,5.6,E
Crysis 3,PS3,2013.0,Shooter,0.26,0.87,77.0,6.3,M
Worms: Open Warfare,PSP,2006.0,Strategy,0.11,0.77,70.0,6.6,E10+
Far Cry 2,PC,2008.0,Action,0.01,0.48,85.0,5.8,M
Yanya Caballista: City Skater,PS2,2001.0,Sports,0.02,0.05,58.0,6.3,E
Heroes over Europe,PS3,2009.0,Simulation,0.12,0.16,62.0,7.0,T
DiRT 3,PS3,2011.0,Racing,0.27,1.06,87.0,7.1,T
LEGO Star Wars II: The Original Trilogy,PS2,2006.0,Action,1.85,2.69,84.0,9.0,E10+
Madden NFL 08,XB,2007.0,Sports,0.22,0.29,76.0,6.0,E
Soul Bubbles,DS,2008.0,Puzzle,0.05,0.08,78.0,8.0,E
Tropico 3,X360,2009.0,Strategy,0.15,0.22,75.0,6.6,T
Blade II,XB,2002.0,Action,0.1,0.13,53.0,4.0,M
Super Puzzle Fighter II,GBA,,Puzzle,0.06,0.09,83.0,9.5,E
de Blob,Wii,2008.0,Platform,0.49,0.96,82.0,8.6,E
Tomb Raider: Legend,PC,2006.0,Action,0.0,0.02,82.0,7.9,T
Frogger: Helmet Chaos,PSP,2005.0,Platform,0.1,0.11,66.0,6.4,E
Monopoly,Wii,2008.0,Misc,0.86,1.89,70.0,7.8,E
Aliens versus Predator: Extinction,PS2,2003.0,Strategy,0.09,0.19,66.0,8.4,T
Untold Legends: Dark Kingdom,PS3,2006.0,Role-Playing,0.14,0.2,58.0,7.2,T
Army Men: Sarge's War,GC,2004.0,Shooter,0.12,0.15,56.0,6.7,T
Herdy Gerdy,PS2,2002.0,Adventure,0.11,0.22,69.0,5.0,E
Ford Racing 3,PS2,2004.0,Racing,0.13,0.26,50.0,6.6,E
World Destruction League: Thunder Tanks,PS,2000.0,Action,0.09,0.17,35.0,1.2,T
Crash Nitro Kart,PS2,2003.0,Racing,0.74,1.95,69.0,7.7,E
Batman: Arkham Asylum,X360,2009.0,Action,2.2,3.48,92.0,8.7,T
DJ Hero,Wii,2009.0,Misc,0.45,0.76,87.0,7.6,T
X-Men: Next Dimension,XB,2002.0,Fighting,0.08,0.11,56.0,,T
The Lord of the Rings: War in the North,PC,2011.0,Action,0.05,0.19,66.0,7.1,M
Constantine,XB,2005.0,Action,0.04,0.06,60.0,7.1,M
The Sims: Makin' Magic,PC,2003.0,Simulation,1.03,1.92,80.0,8.6,T
Resident Evil: Operation Raccoon City,X360,2012.0,Action,0.55,0.77,52.0,4.9,M
Harvey Birdman: Attorney at Law,Wii,2008.0,Adventure,0.08,0.08,60.0,7.8,T
The Polar Express,GC,2004.0,Adventure,0.08,0.11,40.0,4.7,E
Atelier Shallie: Alchemists of the Dusk Sea,PS3,2014.0,Role-Playing,0.06,0.18,76.0,7.7,E10+
Fairytale Fights,X360,2009.0,Action,0.14,0.17,51.0,6.2,M
FIFA Soccer 2004,XB,2003.0,Sports,0.24,0.79,82.0,8.2,E
R4: Ridge Racer Type 4,PS,1998.0,Racing,0.68,2.06,88.0,9.2,
Call of Duty: Black Ops II,X360,2012.0,Shooter,8.25,13.67,83.0,4.8,M
Tom Clancy's Splinter Cell,GC,2003.0,Action,0.18,0.23,89.0,8.7,T
Resistance 2,PS3,2008.0,Shooter,1.15,2.46,87.0,6.1,M
Street Fighter Alpha 3,GBA,2002.0,Fighting,0.11,0.15,83.0,7.8,T
Teenage Mutant Ninja Turtles: Smash-Up,Wii,2009.0,Fighting,0.33,0.35,67.0,8.2,E10+
Shrek Super Party,PS2,2002.0,Misc,0.14,0.29,30.0,5.1,E
Republique,PS4,2016.0,Action,0.0,0.01,72.0,5.8,M
Battle Engine Aquila,PS2,2003.0,Shooter,0.02,0.03,73.0,9.0,T
Zone of the Enders: The Fist of Mars,GBA,2001.0,Role-Playing,0.04,0.06,71.0,9.0,E
Lucha Libre AAA: Heroes del Ring,PS3,2010.0,Fighting,0.1,0.11,54.0,7.1,T
The Sims 2,XB,2005.0,Simulation,0.19,0.25,75.0,7.1,T
Ape Escape 2,PS2,2002.0,Platform,0.12,0.63,82.0,8.4,E
Silent Hill: Shattered Memories,PS2,2010.0,Action,0.13,0.59,77.0,6.8,M
Risen,PC,2009.0,Role-Playing,0.0,0.14,77.0,8.1,M
F1 2014,X360,2014.0,Racing,0.08,0.23,64.0,4.1,E
The Legend of Zelda: Skyward Sword,Wii,2011.0,Action,2.03,3.95,93.0,8.0,E10+
Disney's Chicken Little,PS2,2005.0,Platform,0.32,0.65,60.0,8.9,E10+
Deus Ex: Mankind Divided,PS4,2016.0,Role-Playing,0.11,0.38,84.0,7.6,M
Terraria,PSV,2013.0,Action,0.0,0.1,85.0,7.8,T
Beyond: Two Souls,PS3,2013.0,Adventure,0.52,1.63,70.0,8.1,M
Dynasty Warriors 5: Xtreme Legends,PS2,2005.0,Action,0.11,0.57,57.0,9.1,T
The Sims: Hot Date,PC,2001.0,Simulation,1.81,1.82,85.0,7.9,T
FIFA Soccer 08,Wii,2007.0,Sports,0.32,1.02,65.0,6.1,E
Dance Factory,PS2,2006.0,Action,0.02,0.03,56.0,5.8,E
Silent Hunter 5: Battle of the Atlantic,PC,2010.0,Simulation,0.0,0.25,62.0,3.5,T
Need for Speed: Hot Pursuit,PS3,2010.0,Racing,1.05,2.78,89.0,7.2,E10+
Titanfall 2,XOne,2016.0,Shooter,0.37,0.57,87.0,8.0,M
World Series Baseball,XB,2002.0,Sports,0.17,0.23,85.0,8.8,E
nail'd,PS3,2010.0,Racing,0.08,0.12,66.0,6.2,E10+
Grand Ages: Medieval,PC,2015.0,Strategy,0.0,0.05,63.0,5.4,T
NASCAR Thunder 2004,PS2,2003.0,Racing,0.53,1.08,88.0,8.9,E
pro evolution soccer 2011,Wii,2010.0,Sports,0.07,0.22,78.0,5.4,E
Spirit Camera: The Cursed Memoir,3DS,2012.0,Adventure,0.13,0.22,54.0,6.1,T
Klonoa,Wii,2008.0,Platform,0.1,0.16,77.0,8.6,E10+
NES Remix,WiiU,2014.0,Action,0.17,0.28,71.0,7.1,E
Hot Shots Tennis: Get a Grip,PSP,2010.0,Sports,0.07,0.21,80.0,8.0,E
Ape Escape 3,PS2,2005.0,Platform,0.06,0.13,77.0,8.5,E10+
Fight Night Round 2,XB,2005.0,Fighting,0.42,0.6,88.0,8.8,T
Predator: Concrete Jungle,PS2,2005.0,Action,0.1,0.2,47.0,8.8,M
The Golden Compass,Wii,,Action,0.26,0.6,35.0,6.8,E10+
Guild Wars: Factions,PC,2006.0,Role-Playing,0.0,0.01,84.0,8.5,T
Shadow The Hedgehog,PS2,2005.0,Platform,0.5,0.6,45.0,6.0,E10+
Dragon's Dogma,X360,2012.0,Role-Playing,0.42,0.79,75.0,7.8,M
Batman Begins,PS2,2005.0,Action,0.27,0.56,64.0,7.3,T
Cars: Race-O-Rama,X360,2009.0,Racing,0.14,0.15,54.0,5.8,E
Titanfall,PC,2014.0,Shooter,0.22,0.56,86.0,6.2,M
Spider-Man: Friend or Foe,X360,2007.0,Action,0.26,0.29,60.0,6.3,E10+
Final Fantasy XIII,X360,2010.0,Role-Playing,1.28,2.16,82.0,6.3,T
We Ski,Wii,2008.0,Sports,0.97,1.67,67.0,8.5,E
Rock Band,PS3,,Misc,0.99,1.62,92.0,8.4,T
007: Quantum of Solace,PS3,2008.0,Action,0.43,1.14,65.0,6.6,T
Major League Baseball 2K5,PS2,2005.0,Sports,0.72,1.48,82.0,7.4,E
Radiata Stories,PS2,2005.0,Role-Playing,0.18,0.65,74.0,9.0,T
Forza Horizon 2,XOne,2014.0,Racing,0.5,1.4,86.0,8.2,E10+
Raving Rabbids: Travel in Time,Wii,2010.0,Adventure,0.21,0.75,62.0,7.6,E10+
Aliens: Colonial Marines,PC,2013.0,Shooter,0.1,0.18,45.0,3.5,M
htoL#NiQ: The Firefly Diary,PSV,2014.0,Platform,0.0,0.01,58.0,7.7,T
Shin Megami Tensei: Persona 4,PS2,2008.0,Role-Playing,0.34,0.82,90.0,8.9,M
Pokemon Conquest,DS,2012.0,Role-Playing,0.56,1.02,80.0,8.2,E
Mortal Kombat: Deadly Alliance,GC,2002.0,Fighting,0.31,0.41,81.0,8.7,M
Inversion,PS3,2012.0,Shooter,0.03,0.07,56.0,5.4,M
Capcom Digital Collection,X360,2012.0,Action,0.02,0.02,65.0,5.3,T
Crackdown,X360,2007.0,Shooter,1.0,1.75,83.0,8.0,M
Cars: Mater-National Championship,PS3,2007.0,Racing,0.37,0.41,63.0,4.8,E
Red Faction II,XB,2003.0,Shooter,0.09,0.12,74.0,5.8,M
Dragon Ball Z: Sagas,PS2,2005.0,Fighting,0.38,0.46,49.0,5.4,T
Left 4 Dead,X360,2008.0,Shooter,2.66,3.51,89.0,7.9,M
Top Gun: Combat Zones,PS2,2001.0,Simulation,0.45,0.92,63.0,3.3,E
MotorStorm: Arctic Edge,PS2,2009.0,Racing,0.07,0.34,72.0,8.3,T
Red Faction,PS2,2001.0,Shooter,0.76,1.92,88.0,8.0,M
FIFA Soccer 11,X360,2010.0,Sports,0.71,3.52,88.0,7.5,E
Dead Rising 2: Off the Record,PC,2011.0,Action,0.04,0.06,66.0,5.3,M
Disney's Kim Possible: Revenge of Monkey Fist,GBA,2002.0,Platform,0.37,0.51,62.0,8.8,E
Elebits,Wii,2006.0,Action,0.22,0.32,75.0,7.4,E
Gotcha Force,GC,2003.0,Shooter,0.01,0.03,56.0,8.2,E
Titanfall 2,PC,2016.0,Shooter,0.03,0.08,85.0,8.0,M
Kessen II,PS2,2001.0,Strategy,0.13,0.46,71.0,8.3,T
Atelier Iris: Eternal Mana,PS2,2004.0,Role-Playing,0.08,0.15,74.0,7.7,T
Racing Gears Advance,GBA,2004.0,Racing,0.04,0.06,83.0,8.9,E
Gravity Games Bike: Street Vert Dirt,PS2,2002.0,Sports,0.05,0.1,24.0,4.1,T
Scribblenauts: Unlimited,WiiU,2012.0,Action,0.25,0.37,73.0,7.4,E10+
Guitar Hero II,PS2,2006.0,Misc,3.81,5.12,92.0,8.5,T
Mirror's Edge Catalyst,PS4,2016.0,Platform,0.11,0.35,69.0,4.7,T
Pac-Man Collection,GBA,2001.0,Puzzle,2.07,2.94,79.0,7.8,E
Spyro: Year of the Dragon,PS,2000.0,Platform,1.93,3.71,91.0,8.8,E
Dragon Ball: XenoVerse,PS4,2015.0,Fighting,0.3,1.11,69.0,7.7,T
Blood Omen 2,XB,2002.0,Action,0.14,0.19,76.0,9.0,M
Pure,X360,2008.0,Racing,1.38,2.47,85.0,7.7,E
Digimon Rumble Arena,PS,2001.0,Fighting,0.01,0.02,64.0,8.8,E
Men of War,PC,2009.0,Strategy,0.01,0.03,80.0,8.1,M
Final Fantasy XII: Revenant Wings,DS,2007.0,Role-Playing,0.33,1.37,81.0,6.1,E10+
Tom Clancy's Rainbow Six: Critical Hour,XB,,Shooter,0.04,0.06,54.0,3.6,M
Sleeping Dogs,PS3,2012.0,Action,0.31,1.04,83.0,7.7,M
Assassin's Creed: Rogue,X360,2014.0,Action,0.58,1.01,72.0,7.3,M
Mana Khemia: Alchemists of Al-Revis,PS2,2007.0,Role-Playing,0.03,0.06,69.0,7.5,E10+
FIFA World Cup Germany 2006,XB,2006.0,Sports,0.18,0.24,77.0,8.4,E
Army of Two: The 40th Day,PS3,2010.0,Shooter,0.44,0.85,74.0,7.0,M
Secret Files: Tunguska,DS,2008.0,Adventure,0.04,0.05,71.0,7.6,T
WWE SmackDown vs. Raw 2011,PS3,2010.0,Fighting,0.44,1.09,74.0,6.9,T
GRID,DS,,Racing,0.04,0.05,79.0,8.1,E
Saints Row 2,PS3,2008.0,Action,0.88,1.68,82.0,7.9,M
Scaler,PS2,2004.0,Platform,0.05,0.09,70.0,8.6,E
Prototype: Biohazard Bundle,PS4,2016.0,Action,0.01,0.02,48.0,2.0,M
Ty the Tasmanian Tiger,GC,2002.0,Platform,0.21,0.27,69.0,8.7,E
FIFA Soccer 10,PC,2009.0,Sports,0.0,0.05,72.0,3.8,E
All-Star Baseball 2005,PS2,,Sports,0.16,0.32,72.0,8.6,E
NBA Street V3,XB,2005.0,Sports,0.28,0.32,89.0,8.9,E
UFC Undisputed 3,X360,2012.0,Action,0.72,0.99,85.0,7.6,T
Dynasty Warriors 6,X360,2007.0,Action,0.15,0.3,60.0,7.4,T
World Championship Poker,PS2,2004.0,Misc,0.8,0.95,60.0,7.7,E
Guilty Gear X: Advance Edition,GBA,2002.0,Fighting,0.04,0.06,67.0,5.9,T
Naruto: Ultimate Ninja Heroes 2 - The Phantom Fortress,PSP,2006.0,Fighting,0.14,0.16,64.0,7.8,T
Arslan: The Warriors of Legend,PS4,2015.0,Action,0.03,0.09,69.0,6.6,T
Broken Sword 5: The Serpent's Curse,PS4,2015.0,Adventure,0.0,0.07,72.0,7.2,T
LEGO Marvel Super Heroes,PS4,2013.0,Action,0.59,1.62,83.0,7.7,E10+
Tom Clancy's Rainbow Six: Siege,PS4,2015.0,Shooter,0.55,2.21,73.0,7.3,M
Harry Potter and the Goblet of Fire,PSP,2005.0,Action,0.17,0.19,70.0,7.4,E10+
BioShock Infinite,PC,2013.0,Shooter,0.29,0.66,94.0,8.5,M
